382-Bursa-208-Turkey-0-0- -
385-Adana-208-Turkey-0-0- -
388-Antalya-208-Turkey-0-0- -
391-Izmit-208-Turkey-0-0- -
394-Konya-208-Turkey-0-0- -
397-Gaziantep-208-Turkey-0-0- -
400-Bodrum-208-Turkey-0-0- -
403-Eskisehir-208-Turkey-0-0- -
406-Bozcaada-208-Turkey-0-0- -
409-Hartbeespoort-189-South Africa-0-0- -
412-AK-216-United States-1-69-Alaska-AK
415-Anchorage, AK-216-United States-0-69-Alaska-AK
418-Fairbanks, AK-216-United States-0-69-Alaska-AK
421-Birmingham, AL-216-United States-0-70-Alabama-AL
424-AL-216-United States-1-70-Alabama-AL
427-Dothan, AL-216-United States-0-70-Alabama-AL
430-Huntsville, AL-216-United States-0-70-Alabama-AL
433-Mobile Bay, AL-216-United States-0-70-Alabama-AL
436-Montgomery, AL-216-United States-0-70-Alabama-AL
439-Tuscaloosa, AL-216-United States-0-70-Alabama-AL
442-Little Rock, AR-216-United States-0-71-Arkansas-AR
445-Fort Smith, AR-216-United States-0-71-Arkansas-AR
448-Northwest AR-216-United States-0-71-Arkansas-AR
451-AR-216-United States-1-71-Arkansas-AR
454-Hot Springs, AR-216-United States-0-71-Arkansas-AR
457-Prescott, AZ-216-United States-0-72-Arizona-AZ
460-AZ-216-United States-1-72-Arizona-AZ
463-Yuma, AZ-216-United States-0-72-Arizona-AZ
466-Tucson, AZ-216-United States-0-72-Arizona-AZ
469-Flagstaff, AZ-216-United States-0-72-Arizona-AZ
472-Ventura County, CA-216-United States-0-73-California-CA
475-Chico, CA-216-United States-0-73-California-CA
478-Redding, CA-216-United States-0-73-California-CA
481-Lancaster, CA-216-United States-0-73-California-CA
484-Orange County, CA-216-United States-0-73-California-CA
487-Monterey Bay, CA-216-United States-0-73-California-CA
490-Temecula, CA-216-United States-0-73-California-CA
493-Palm Springs, CA-216-United States-0-73-California-CA
496-Bakersfield, CA-216-United States-0-73-California-CA
499-Sacramento, CA-216-United States-0-73-California-CA
502-Southern CA-216-United States-1-73-California-CA
505-Visalia, CA-216-United States-0-73-California-CA
508-Stockton, CA-216-United States-0-73-California-CA
511-Santa Maria, CA-216-United States-0-73-California-CA
514-Fresno, CA-216-United States-0-73-California-CA
517-Northern CA-216-United States-1-73-California-CA
520-Inland Empire, CA-216-United States-0-73-California-CA
523-Victorville, CA-216-United States-0-73-California-CA
526-Santa Barbara, CA-216-United States-0-73-California-CA
529-CO Springs-216-United States-0-74-Colorado-CO
532-CO-216-United States-1-74-Colorado-CO
535-Pueblo, CO-216-United States-0-74-Colorado-CO
538-Grand Junction, CO-216-United States-0-74-Colorado-CO
541-Northern CO-216-United States-0-74-Colorado-CO
544-Hartford, CT-216-United States-0-75-Connecticut-CT
547-CT-216-United States-1-75-Connecticut-CT
550-New Haven, CT-216-United States-0-75-Connecticut-CT
553-Fairfield County, CT-216-United States-0-75-Connecticut-CT
556-Wilmington, DE-216-United States-0-76-Delaware-DE
559-DE-216-United States-1-76-Delaware-DE
562-Panama City, FL-216-United States-0-77-Florida-FL
565-Treasure Coast, FL-216-United States-0-77-Florida-FL
568-FL-216-United States-1-77-Florida-FL
571-FL Keys-216-United States-0-77-Florida-FL
574-Jacksonville, FL-216-United States-0-77-Florida-FL
577-Melbourne, FL-216-United States-0-77-Florida-FL
580-Destin, FL-216-United States-0-77-Florida-FL
583-St Augustine, FL-216-United States-0-77-Florida-FL
586-Fort Myers, FL-216-United States-0-77-Florida-FL
589-Ocala, FL-216-United States-0-77-Florida-FL
592-Gainesville, FL-216-United States-0-77-Florida-FL
595-Tallahassee, FL-216-United States-0-77-Florida-FL
598-Daytona Beach, FL-216-United States-0-77-Florida-FL
601-Orlando, FL-216-United States-0-77-Florida-FL
604-Tampa Bay, FL-216-United States-0-77-Florida-FL
607-Pensacola, FL-216-United States-0-77-Florida-FL
610-Albany, GA-216-United States-0-78-Georgia-GA
613-Valdosta, GA-216-United States-0-78-Georgia-GA
616-Gainesville, GA-216-United States-0-78-Georgia-GA
619-Savannah, GA-216-United States-0-78-Georgia-GA
622-Columbus, GA-216-United States-0-78-Georgia-GA
625-Dalton, GA-216-United States-0-78-Georgia-GA
628-Augusta, GA-216-United States-0-78-Georgia-GA
631-GA-216-United States-1-78-Georgia-GA
634-Athens, GA-216-United States-0-78-Georgia-GA
637-Macon, GA-216-United States-0-78-Georgia-GA
640-Hawaii-216-United States-0-0- -
643-Des Moines, IA-216-United States-0-80-Iowa-IA
646-Davenport, IA-216-United States-0-80-Iowa-IA
649-Sioux City, IA-216-United States-0-80-Iowa-IA
652-Cedar Rapids/IA City-216-United States-0-80-Iowa-IA
655-Waterloo, IA-216-United States-0-80-Iowa-IA
658-Dubuque, IA-216-United States-0-80-Iowa-IA
661-IA-216-United States-1-80-Iowa-IA
664-Boise, ID-216-United States-0-81-Idaho-ID
667-Pocatello, ID-216-United States-0-81-Idaho-ID
670-ID-216-United States-1-81-Idaho-ID
673-Twin Falls, ID-216-United States-0-81-Idaho-ID
676-Coeur d'Alene, ID-216-United States-0-81-Idaho-ID
679-ID Falls-216-United States-0-81-Idaho-ID
682-IL-216-United States-1-82-Illinois-IL
685-Champaign, IL-216-United States-0-82-Illinois-IL
688-Rockford, IL-216-United States-0-82-Illinois-IL
691-Decatur, IL-216-United States-0-82-Illinois-IL
694-Peoria, IL-216-United States-0-82-Illinois-IL
697-Bloomington, IL-216-United States-0-82-Illinois-IL
700-Springfield, IL-216-United States-0-82-Illinois-IL
703-Fort Wayne, IN-216-United States-0-83-Indiana-IN
706-IN-216-United States-1-83-Indiana-IN
709-Terre Haute, IN-216-United States-0-83-Indiana-IN
712-Muncie, IN-216-United States-0-83-Indiana-IN
715-Evansville, IN-216-United States-0-83-Indiana-IN
718-INpolis-216-United States-0-83-Indiana-IN
721-Bloomington, IN-216-United States-0-83-Indiana-IN
724-South Bend, IN-216-United States-0-83-Indiana-IN
727-Lafayette, IN-216-United States-0-83-Indiana-IN
730-Wichita, KS-216-United States-0-84-Kansas-KS
733-Topeka, KS-216-United States-0-84-Kansas-KS
736-KS-216-United States-1-84-Kansas-KS
739-KY-216-United States-1-85-Kentucky-KY
742-Lexington, KY-216-United States-0-85-Kentucky-KY
745-Louisville, KY-216-United States-0-85-Kentucky-KY
748-Paducah, KY-216-United States-0-85-Kentucky-KY
751-Bowling Green, KY-216-United States-0-85-Kentucky-KY
754-Monroe, LA-216-United States-0-86-Louisiana-LA
757-Baton Rouge, LA-216-United States-0-86-Louisiana-LA
760-LA-216-United States-1-86-Louisiana-LA
763-Lake Charles, LA-216-United States-0-86-Louisiana-LA
766-Shreveport, LA-216-United States-0-86-Louisiana-LA
769-Houma, LA-216-United States-0-86-Louisiana-LA
772-Lafayette, LA-216-United States-0-86-Louisiana-LA
775-Cape Cod, MA-216-United States-0-87-Massachusetts-MA
778-MA-216-United States-1-87-Massachusetts-MA
781-New Bedford, MA-216-United States-0-87-Massachusetts-MA
784-Ocean City, MD-216-United States-0-88-Maryland-MD
787-Baltimore, MD-216-United States-0-88-Maryland-MD
790-MD-216-United States-1-88-Maryland-MD
793-Portland, ME-216-United States-0-89-Maine-ME
796-ME-216-United States-1-89-Maine-ME
799-Muskegon, MI-216-United States-0-90-Michigan-MI
802-Kalamazoo, MI-216-United States-0-90-Michigan-MI
805-MI-216-United States-1-90-Michigan-MI
808-Jackson, MI-216-United States-0-90-Michigan-MI
811-Traverse City, MI-216-United States-0-90-Michigan-MI
814-Lansing, MI-216-United States-0-90-Michigan-MI
817-Grand Rapids, MI-216-United States-0-90-Michigan-MI
820-Flint, MI-216-United States-0-90-Michigan-MI
823-Saginaw, MI-216-United States-0-90-Michigan-MI
826-Twin Cities, MN-216-United States-0-91-Minnesota-MN
829-Rochester, MN-216-United States-0-91-Minnesota-MN
832-Duluth, MN-216-United States-0-91-Minnesota-MN
835-MN-216-United States-1-91-Minnesota-MN
838-St Joseph, MO-216-United States-0-92-Missouri-MO
841-Branson, MO-216-United States-0-92-Missouri-MO
844-St. Louis, MO-216-United States-0-92-Missouri-MO
847-MO-216-United States-1-92-Missouri-MO
850-Springfield, MO-216-United States-0-92-Missouri-MO
853-Joplin, MO-216-United States-0-92-Missouri-MO
856-Kansas City, MO-216-United States-0-92-Missouri-MO
859-Columbia, MO-216-United States-0-92-Missouri-MO
862-Jackson, MS-216-United States-0-93-Mississippi-MS
865-Gulfport, MS-216-United States-0-93-Mississippi-MS
868-MS-216-United States-1-93-Mississippi-MS
871-Hattiesburg, MS-216-United States-0-93-Mississippi-MS
874-MT-216-United States-1-94-Montana-MT
877-Great Falls, MT-216-United States-0-94-Montana-MT
880-Billings, MT-216-United States-0-94-Montana-MT
883-Bozeman, MT-216-United States-0-94-Montana-MT
886-Missoula, MT-216-United States-0-94-Montana-MT
889-Helena, MT-216-United States-0-94-Montana-MT
892-Butte, MT-216-United States-0-94-Montana-MT
895-Kalispell, MT-216-United States-0-94-Montana-MT
898-Research Triangle, NC-216-United States-0-95-North Carolina-NC
901-Asheville, NC-216-United States-0-95-North Carolina-NC
904-Piedmont Triad, NC-216-United States-0-95-North Carolina-NC
907-Fayetteville, NC-216-United States-0-95-North Carolina-NC
910-Hickory, NC-216-United States-0-95-North Carolina-NC
913-Jacksonville, NC-216-United States-0-95-North Carolina-NC
916-Wilmington, NC-216-United States-0-95-North Carolina-NC
919-NC-216-United States-1-95-North Carolina-NC
922-Greenville, NC-216-United States-0-95-North Carolina-NC
925-Grand Forks, ND-216-United States-0-96-North Dakota-ND
928-ND-216-United States-1-96-North Dakota-ND
931-Fargo, ND-216-United States-0-96-North Dakota-ND
934-Minot, ND-216-United States-0-96-North Dakota-ND
937-Bismarck, ND-216-United States-0-96-North Dakota-ND
940-NE-216-United States-1-97-Nebraska-NE
943-Lincoln, NE-216-United States-0-97-Nebraska-NE
946-Omaha, NE-216-United States-0-97-Nebraska-NE
949-Manchester, NH-216-United States-0-98-New Hampshire-NH
952-NH-216-United States-1-98-New Hampshire-NH
955-NJ-216-United States-1-100-New Jersey-NJ
958-South Jersey delete, NJ-216-United States-0-100-New Jersey-NJ
961-Las Cruces, NM-216-United States-0-101-New Mexico-NM
964-Albuquerque, NM-216-United States-0-101-New Mexico-NM
967-NM-216-United States-1-101-New Mexico-NM
970-Santa Fe, NM-216-United States-0-101-New Mexico-NM
973-NV-216-United States-1-102-Nevada-NV
976-Reno, NV-216-United States-0-102-Nevada-NV
979-Middletown, NY-216-United States-0-103-New York State-NY
982-Binghamton, NY-216-United States-0-103-New York State-NY
985-NY-216-United States-1-103-New York State-NY
988-Syracuse, NY-216-United States-0-103-New York State-NY
991-Finger Lakes Region, NY-216-United States-0-103-New York State-NY
994-Westchester County, NY-216-United States-0-103-New York State-NY
997-Albany, New York, NY-216-United States-0-103-New York State-NY
1000-Long Island, NY-216-United States-0-103-New York State-NY
1003-Rochester, New York, NY-216-United States-0-103-New York State-NY
1006-Hudson Valley, NY-216-United States-0-103-New York State-NY
1009-Utica, NY-216-United States-0-103-New York State-NY
1012-Buffalo, NY-216-United States-0-103-New York State-NY
1015-Dayton, OH-216-United States-0-104-Ohio-OH
1018-Youngstown, OH-216-United States-0-104-Ohio-OH
1021-Columbus, OH-216-United States-0-104-Ohio-OH
1024-Mansfield, OH-216-United States-0-104-Ohio-OH
1027-Canton, OH-216-United States-0-104-Ohio-OH
1030-Cincinnati, OH-216-United States-0-104-Ohio-OH
1033-Cleveland, OH-216-United States-0-104-Ohio-OH
1036-OH-216-United States-1-104-Ohio-OH
1039-Lima, OH-216-United States-0-104-Ohio-OH
1042-Toledo, OH-216-United States-0-104-Ohio-OH
1045-Tulsa, OK-216-United States-0-105-Oklahoma-OK
1048-OK-216-United States-1-105-Oklahoma-OK
1051-OK City-216-United States-0-105-Oklahoma-OK
1054-Lawton, OK-216-United States-0-105-Oklahoma-OK
1057-Medford, OR-216-United States-0-106-Oregon-OR
1060-Salem, OR-216-United States-0-106-Oregon-OR
1063-Eugene, OR-216-United States-0-106-Oregon-OR
1066-Bend, OR-216-United States-0-106-Oregon-OR
1069-OR-216-United States-1-106-Oregon-OR
1072-Johnstown, PA-216-United States-0-107-Pennsylvania-PA
1075-Scranton, PA-216-United States-0-107-Pennsylvania-PA
1078-Harrisburg, PA-216-United States-0-107-Pennsylvania-PA
1081-Pittsburgh, PA-216-United States-0-107-Pennsylvania-PA
1084-Allentown, PA-216-United States-0-107-Pennsylvania-PA
1087-PA-216-United States-1-107-Pennsylvania-PA
1090-Erie, PA-216-United States-0-107-Pennsylvania-PA
1093-Lancaster, PA-216-United States-0-107-Pennsylvania-PA
1096-Providence, RI-216-United States-0-137-Rhode Island-RI
1099-Hilton Head Island, SC-216-United States-0-108-South Carolina-SC
1102-SC-216-United States-1-108-South Carolina-SC
1105-Charleston, SC-216-United States-0-108-South Carolina-SC
1108-Florence, SC-216-United States-0-108-South Carolina-SC
1111-Greenville, SC-216-United States-0-108-South Carolina-SC
1114-Columbia, SC-216-United States-0-108-South Carolina-SC
1117-Rock Hill, SC-216-United States-0-108-South Carolina-SC
1120-Myrtle Beach, SC-216-United States-0-108-South Carolina-SC
1123-SD-216-United States-1-109-South Dakota-SD
1126-Sioux Falls, SD-216-United States-0-109-South Dakota-SD
1129-Rapid City, SD-216-United States-0-109-South Dakota-SD
1132-TN-216-United States-1-110-Tennessee-TN
1135-Johnson City, TN-216-United States-0-110-Tennessee-TN
1138-Nashville, TN-216-United States-0-110-Tennessee-TN
1141-Chattanooga, TN-216-United States-0-110-Tennessee-TN
1144-Memphis, TN-216-United States-0-110-Tennessee-TN
1147-Jackson, TN-216-United States-0-110-Tennessee-TN
1150-Clarksville, TN-216-United States-0-110-Tennessee-TN
1153-Knoxville, TN-216-United States-0-110-Tennessee-TN
1156-Brownsville, TX-216-United States-0-111-Texas-TX
1159-Odessa, TX-216-United States-0-111-Texas-TX
1162-Waco, TX-216-United States-0-111-Texas-TX
1165-San Angelo, TX-216-United States-0-111-Texas-TX
1168-El Paso, TX-216-United States-0-111-Texas-TX
1171-Beaumont, TX-216-United States-0-111-Texas-TX
1174-Corpus Christi, TX-216-United States-0-111-Texas-TX
1177-Laredo, TX-216-United States-0-111-Texas-TX
1180-Abilene, TX-216-United States-0-111-Texas-TX
1183-Wichita Falls, TX-216-United States-0-111-Texas-TX
1186-Amarillo, TX-216-United States-0-111-Texas-TX
1189-Lubbock, TX-216-United States-0-111-Texas-TX
1192-Tyler, TX-216-United States-0-111-Texas-TX
1195-College Station, TX-216-United States-0-111-Texas-TX
1198-Longview, TX-216-United States-0-111-Texas-TX
1201-Killeen, TX-216-United States-0-111-Texas-TX
1204-McAllen, TX-216-United States-0-111-Texas-TX
1207-TX-216-United States-1-111-Texas-TX
